"local_authority_id","name","ons_code","year","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles"
71,"Devon","E10000008",2008,13098.97,8139.32,3895919130.7458,4933860301.71162
117,"Staffordshire","E10000028",2008,6309.83,3920.75,4483946337.99098,5806542435.76706
81,"West Sussex","E10000032",2008,4122.2099999,2561.42,3698357969.87557,4507762760.85474
124,"Redbridge","E09000026",1993,515.907,320.57,492562420.464487,586015560.998767
38,"Dumfries & Galloway","S12000006",1993,4683.629,2910.27,718614665.354331,970005724.071423
37,"South Lanarkshire","S12000029",1993,2442.18,1517.5,878979545.081723,1133750039.76776
23,"Ceredigion","W06000008",1993,2223.87,1381.85,291316428.930048,372204362.150044
170,"Middlesbrough","E06000002",1994,494.362,307.18,610870275.093454,713982365.485564
187,"Telford and Wrekin","E06000020",1994,981.646,609.97,585244233.053965,706085496.947825
160,"Bolton","E08000001",1994,1038.135,645.07,923818179.332697,1112478841.06816
175,"Richmond upon Thames","E09000027",1994,403.308,250.6,480054006.477173,556242504.399308
26,"Wrexham","W06000006",1994,1173.63,729.26,399406512.218643,490080466.326652
15,"Carmarthenshire","W06000010",1994,3539.67,2199.45,731826066.39724,934801904.999801
153,"Leicester","E06000016",1995,780.098,484.73,682761715.332459,808765503.832618
68,"Wiltshire","E06000054",1995,4616.992,2868.87,2343131786.61616,2874385426.60861
105,"Greenwich","E09000011",1995,490.034,304.49,552740834.153543,679292465.75002
55,"Shetland Islands","S12000027",1995,1004.749,624.32,78410827.020202,101689771.111708
85,"Manchester","E08000003",1996,1338.821,831.9,1341261189.03106,1589342657.62944
57,"Barnet","E09000003",1996,733.998,456.09,843284510.956017,998011244.333095
81,"West Sussex","E10000032",1996,4496.656,2794.09,3558781320.83632,4184529894.78943
89,"East Riding of Yorkshire","E06000011",1997,3391.526,2107.4,1412753424.99801,1785731670.1712
182,"Bournemouth","E06000028",1997,501.536,311.64,409342664.464527,475936950.086495
137,"Southampton","E06000045",1997,564.822,350.96,558923186.093216,661068171.254871
164,"Darlington","E06000005",1998,530.171,329.43,392383928.482661,484639422.025372
119,"Derby","E06000015",1998,745.783,463.41,835421763.153185,987806479.534518
160,"Bolton","E08000001",1998,1049.716,652.26,1012215351.72095,1227705673.86463
150,"Walsall","E08000030",1998,839.742,521.79,705424998.632983,893970486.111111
126,"Suffolk","E10000029",1998,6811.586,4232.52,2656169140.34538,3403115198.49081
47,"Dundee City","S12000042",1998,554.97,344.84,418134895.957608,495654549.928418
17,"Neath Port Talbot","W06000012",1998,858.074,533.18,536573845.616599,663691719.110395
158,"St. Helens","E08000013",1999,716.8,445.4,608885132.700032,762708475.005965
192,"Sefton","E08000014",1999,979.33,608.53,556900703.019367,665761161.690726
94,"Sunderland","E08000024",1999,1139.5,708.05,898834801.633461,1078431015.37024
204,"Merton","E09000024",1999,369.2,229.41,355326994.10443,424597473.256184
70,"Gloucestershire","E10000013",1999,5374,3339.25,2739923983.93383,3423316478.01837
18,"The Vale of Glamorgan","W06000014",1999,898.97,558.59,517505150.545812,615637309.984689
184,"Torbay","E06000027",2000,523,324.98,320380851.054273,377905906.376035
128,"Thurrock","E06000034",2000,571.5,355.11,738764264.52397,950434381.289392
88,"Wakefield","E08000036",2000,1497.96,930.79,1219796004.89041,1550830741.52785
101,"Gateshead","E08000037",2000,897.3,557.56,929477059.182381,1122675406.79557
124,"Redbridge","E09000026",2000,524.4,325.85,527691755.350919,644526184.077657
72,"Warwickshire","E10000031",2000,4009.5,2491.39,3998174000.32745,5020163534.31591
13,"Monmouthshire","W06000021",2000,1591,988.6,587945699.253497,758656152.598216
171,"Redcar and Cleveland","E06000003",2001,683.3,424.58,465713148.441303,552403053.078807
152,"Coventry","E08000026",2001,845.2,525.18,923387827.471428,1091329300.60014
153,"Leicester","E06000016",2002,799.9,497.03,730397094.165334,870743475.132594
188,"Nottingham","E06000018",2002,790.4,491.13,784303271.750713,952012497.409111
115,"Bath and North East Somerset","E06000022",2002,1043.6,648.46,571353770.604469,690904574.024133
165,"Haringey","E09000014",2002,357.8,222.33,306955943.699615,382119027.587377
104,"Lewisham","E09000023",2002,449.3,279.18,440410763.973584,546247295.992604
61,"Derbyshire","E10000007",2002,5626.7,3496.27,3472995008.9379,4432025309.49246
99,"Lincolnshire","E10000019",2002,9062.61,5631.24,2604315712.1936,3394576663.60415
28,"Renfrewshire","S12000038",2002,920.3,571.85,692698338.267021,834773275.632804
21,"Merthyr Tydfil","W06000024",2002,336.8,209.28,182322549.254614,220317847.309073
127,"Southend-on-Sea","E06000033",2003,448.1045,278.44,350126727.443251,414674931.543923
107,"Lambeth","E09000022",2003,392.139,243.66,424887871.897866,551266714.29174
108,"Wandsworth","E09000032",2003,427.703,265.76,486640971.441639,605436922.717386
135,"Surrey","E10000030",2003,5487.521,3409.79,7117866330.87066,8585630549.33284
115,"Bath and North East Somerset","E06000022",1993,1025.891,637.46,515122469.776505,611016025.784419
25,"Torfaen","W06000020",1993,460.138,285.92,262335281.953392,307697794.256542
98,"Rutland","E06000017",1994,531.874,330.49,233583613.571741,302469127.172314
125,"Waltham Forest","E09000031",1994,415.637,258.26,366795721.735067,447424292.133938
154,"Norfolk","E10000020",1994,9960.461,6189.14,3463790336.93232,4252541190.69633
39,"East Ayrshire","S12000008",1994,1298.193,806.66,393040766.299809,494450379.160701
43,"West Dunbartonshire","S12000039",1994,405.666,252.07,279821634.156526,328305602.779766
128,"Thurrock","E06000034",1995,561.835,349.11,643360919.728784,810734975.865943
77,"Cumbria","E10000006",1995,7874.772,4893.16,2323921766.88141,2990234245.13342
123,"Essex","E10000012",1995,7828.108,4864.16,5985493817.35664,7333097797.61195
142,"Oxfordshire","E10000025",1995,4531.142,2815.52,3244412742.70759,3945956154.80593
72,"Warwickshire","E10000031",1995,3968.546,2465.94,3601850307.95156,4467138506.74561
155,"Herefordshire, County of","E06000019",1996,3327.831,2067.82,769561913.425594,989693459.571105
183,"North Somerset","E06000024",1996,1111.181,690.46,942124131.944444,1131349342.9621
116,"Shropshire","E06000051",1996,5083.448,3158.71,1275249497.93208,1628713271.3702
87,"Calderdale","E08000033",1996,1199.751,745.49,681286608.083791,858852721.357274
176,"Bromley","E09000006",1996,884.563,549.64,683790966.381333,798132977.784737
26,"Wrexham","W06000006",1996,1177.346,731.57,418158978.440905,514354425.157083
67,"West Berkshire","E06000037",1997,1351.435,839.74,1315728593.76243,1621524022.83166
79,"Doncaster","E08000017",1997,1648.259,1024.18,1205840494.01495,1591036870.30243
208,"Bedfordshire","E10000001",1997,2298.624,1428.3,1805124822.28784,2268512073.24227
193,"Blackpool","E06000009",1998,461.542,286.79,302562435.998767,351245303.055158
151,"Solihull","E08000029",1998,843.019,523.83,1072896397.53838,1305660577.22898
13,"Monmouthshire","W06000021",1998,1585.882,985.42,569915287.22262,737880219.518015
131,"North East Lincolnshire","E06000012",1999,647.7,402.46,462742632.401774,563878151.594687
152,"Coventry","E08000026",1999,841.1,522.64,922928524.914499,1087263292.99392
121,"Enfield","E09000010",1999,588.1,365.43,773196103.505528,967123248.97598
133,"East Sussex","E10000011",2000,3366.1,2091.6,2068405077.03731,2493658170.18195
98,"Rutland","E06000017",2001,537.7,334.11,249980327.07496,329158472.285058
172,"Newcastle upon Tyne","E08000021",2001,918.2,570.54,951333936.068564,1117302009.4355
190,"Sandwell","E08000028",2001,877.33,545.15,948040970.290335,1197262460.55789
204,"Merton","E09000024",2001,371,230.53,353660788.967976,424503304.120327
207,"Cheshire","E10000004",2001,5122.33,3182.87,4061595603.69009,5046427603.06337
59,"Northamptonshire","E10000021",2001,4488.3,2788.9,3713106442.59768,4788873508.91643
39,"East Ayrshire","S12000008",2001,1312.6,815.61,449799000.089477,578556810.725364
36,"Midlothian","S12000019",2001,628.69,390.65,307773293.341883,374945240.420942
173,"North Tyneside","E08000022",2002,758.3,471.19,692708054.376878,806271210.406402
124,"Redbridge","E09000026",2002,527.2,327.59,526555138.653465,642620609.173549
72,"Warwickshire","E10000031",2002,4022,2499.15,4083135411.11211,5138872897.69055
51,"Aberdeen City","S12000033",2002,996.9,619.44,680451065.154498,818787893.390102
74,"Warrington","E06000007",2003,955.0545,593.44,1201882083.62743,1522154548.06598
143,"South Gloucestershire","E06000025",2003,1489.64,925.62,1755696498.52974,2198931614.41817
120,"Luton","E06000032",2003,449.9785,279.6,423648499.94522,510389885.635429
138,"Dorset","E10000009",2003,4236.0365,2632.15,1889737617.27037,2338440136.7244
132,"Hartlepool","E06000001",2004,396,246.06,322926682.986426,395292446.133611
64,"Medway","E06000035",2004,822.7,511.2,667148200.823217,829268031.539292
68,"Wiltshire","E06000054",2004,4699.9,2920.38,2651105192.3017,3304443512.42972
90,"Salford","E08000006",2004,786.5,488.71,1170453815.43336,1477947604.38799
197,"Kirklees","E08000034",2004,1913.9,1189.24,1253651913.45687,1617265845.98623
105,"Greenwich","E09000011",2004,500.7,311.12,581496523.2834,728400782.591648
20,"Flintshire","W06000005",2004,1254.8,779.7,809354208.848179,1008834437.26607
140,"Stoke-on-Trent","E06000021",2005,861.1,535.06,687855125.944034,844643114.899368
108,"Wandsworth","E09000032",2005,456.7,283.78,455648533.330407,580744385.825673
131,"North East Lincolnshire","E06000012",2006,634.4,394.2,489362408.638318,613924007.1302
182,"Bournemouth","E06000028",2006,509.5,316.59,433541224.182659,516860561.114453
168,"Barking and Dagenham","E09000002",1993,319.64,198.62,279559634.857433,343045744.725801
177,"Sutton","E09000029",1993,411.597,255.75,372888699.992046,432941711.03257
54,"Orkney Islands","S12000023",1993,1075.871,668.52,54235327.5620377,67847094.2197566
31,"Perth & Kinross","S12000048",1993,2975.149,1848.67,923470105.831941,1155676726.0449
